Event Name,Log Source,Event Count,Start Time,Low Level Category,Source IP,Source Port,URL (custom),Destination IP,Destination Port,Username,Magnitude
"TCP_DENIED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Denied","10.6.162.46","50094","avatars0.githubusercontent.com:443/","199.232.36.133","443","N/A","8"
"TCP_DENIED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Denied","10.6.162.46","50093","avatars0.githubusercontent.com:443/","199.232.36.133","443","N/A","8"
"TCP_DENIED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Denied","10.6.162.46","50094","avatars0.githubusercontent.com:443/","199.232.36.133","443","N/A","8"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Information","10.6.162.46","50092","github.com:443/","192.30.253.112","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49828","N/A","192.30.253.112","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49816","N/A","3.224.219.57","443","wgonzalez","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49817","N/A","140.82.114.5","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49810","N/A","140.82.113.4","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49826","N/A","192.30.253.112","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49827","N/A","192.30.253.112","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:29 PM","Access Permitted","10.6.162.46","49809","N/A","140.82.113.4","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:18 PM","Access Permitted","10.6.162.46","50074","N/A","192.30.253.112","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:17 PM","Access Permitted","10.6.162.46","50076","N/A","140.82.113.6","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:17 PM","Information","10.6.162.46","50076","api.github.com:443/","140.82.113.6","443","N/A","7"
